ID,Nombre,Edad,Género,Ubicación,Grado_escolar,Horas_de_uso_diario,Horas_de_sueño,Rendimiento_académico,Interacciones_sociales,Horas_de_ejercicio,Nivel_de_ansiedad,Nivel_de_depresión,Autoestima,Control_parental,Tiempo_antes_de_acostarse,Chequeos_del_celular_por_día,Aplicaciones_usadas_a_diario,Tiempo_en_redes_sociales,Tiempo_en_el_juego,Tiempo_en_Educación,Propósito_del_uso_del_teléfono,Comunicación_familiar,Horas_de_uso_en_finde,Nivel_de_adicción
1,Shannon Francis,13,Mujer,Hansonfort,9,4,6.1,78,5,0.1,10,3,8,0,1.4,86,19,3.6,1.7,1.2,busquedas,4,8.7,10
2,Scott Rodriguez,17,Mujer,Theodorefort,7,5.5,6.5,70,5,0,3,7,3,0,0.9,96,9,1.1,4,1.8,busquedas,2,5.3,10
3,Adrian Knox,13,Otro,Lindseystad,11,5.8,5.5,93,8,0.8,2,3,10,0,0.5,137,8,0.3,1.5,0.4,Educación,6,5.7,9.2
4,Brittany Hamilton,18,Mujer,West Anthony,12,3.1,3.9,78,8,1.6,9,10,3,0,1.4,128,7,3.1,1.6,0.8,Redes sociales,8,3,9.8
5,Steven Smith,14,Otro,Port Lindsaystad,9,2.5,6.7,56,4,1.1,1,5,1,0,1,96,20,2.6,0.9,1.1,Juego,10,3.7,8.6
6,Mary Adams,13,Mujer,East Angelachester,10,3.9,6.3,89,3,0.7,7,1,3,0,1.1,135,8,3.8,0,1.4,Redes sociales,7,6,8.8
7,Hailey Moses,16,Varon,North Jeffrey,11,6.3,6.7,89,3,0.9,6,7,9,0,0.8,129,9,1.8,2.7,1,Educación,7,7.8,10
8,Veronica Marshall,13,Otro,Jenniferport,10,5.1,6.1,70,2,2.2,5,6,8,0,1,34,7,2.3,1.6,0.5,busquedas,9,8,8
9,Edward Avila,13,Varon,Leebury,8,3,9.1,79,0,1.8,1,7,6,0,0.9,70,13,2.7,2.2,1.3,Educación,10,9.1,7.3
10,James Carter,18,Otro,Prestonview,11,3.9,5.8,89,8,1.1,9,1,9,0,0.9,121,13,2.7,0.4,1,Otro,9,2.9,9.1
11,Bobby Sparks,18,Mujer,Cherylburgh,12,4.9,7,74,5,0.6,4,3,2,0,0.6,84,20,3.1,0.6,0.8,Otro,6,3.5,10
12,Ruben Walters,14,Varon,Lake Mary,11,1.6,5.9,70,10,1.5,10,8,8,0,0.9,147,18,1.9,2.7,1,busquedas,7,3.2,9.8
13,Sarah Nguyen,19,Mujer,South Heatherton,10,7.4,5.8,70,4,0.6,4,9,3,0,1.1,59,19,4.3,0.4,0.4,Juego,8,9.1,10
14,Melanie Phillips,17,Mujer,Port Angelaburgh,9,8.7,5.5,95,6,1.9,2,8,2,1,0.7,76,8,4.2,1.3,1.5,Educación,5,4.6,10
15,Edwin Lambert,15,Otro,New Emilyberg,12,6.4,8.5,79,3,0,2,8,9,1,0.5,50,14,5,1.2,0,Redes sociales,5,5.6,10
16,Gregory Hughes,19,Otro,Port Charles,11,4.4,6.6,97,6,1.6,8,10,4,1,1.2,134,17,2.2,1.5,1.8,Educación,4,6.8,10
17,Matthew Webb,15,Mujer,Lake Chase,8,5.4,7.8,87,4,2.3,6,6,9,0,0.9,36,20,2.6,1.3,1.1,Juego,9,1.4,10
18,John Cooper,15,Otro,Paulstad,10,3,6.1,80,5,1.4,1,4,2,1,1.2,95,16,3,1.9,0.2,Otro,7,7.5,10
19,Amy Greene,19,Mujer,Port Nicholasberg,9,7.9,8.5,96,6,0.1,5,2,4,1,1,58,9,2.2,1.9,1.3,Educación,5,3.5,10
20,Kathryn Perez,18,Varon,South Thomas,12,5.4,5.9,69,4,1.3,2,7,8,0,0.6,83,19,1.6,1,0.4,busquedas,7,6.1,10
21,Michael Williams,15,Mujer,Margaretmouth,12,3,5.1,83,4,1.1,1,9,4,1,1.5,58,6,1.7,1.7,2,Redes sociales,8,6.7,6.2
22,Patricia Johnson,16,Mujer,North Scott,12,2.7,6.3,92,3,1.4,2,9,3,1,1.7,112,17,2.1,2.6,0.9,Juego,10,5.7,9.9
23,Jennifer Davis,14,Otro,Port Angelabury,11,2.7,5.1,60,9,0,4,6,2,0,1.7,117,16,2.5,1.3,0.2,Educación,5,4.8,9.5
24,Desiree Brady,19,Varon,East Amanda,9,6.9,3.6,79,5,1,5,5,10,1,0.8,32,7,2,1.3,1.2,Educación,7,6.6,10
25,Mark Crawford,19,Otro,Port Alan,12,4.6,7.2,85,7,1.3,7,6,4,0,1.1,71,5,1.8,0.8,1.1,Redes sociales,8,6.2,6
26,Samantha Sanchez,16,Varon,Port Bianca,11,5.5,5.9,78,5,1.2,1,7,3,0,0.7,44,14,0.9,1.3,1.3,Juego,3,3.9,8.4
27,Kelly Giles,19,Varon,West Kimberlyfurt,11,6.2,4.5,65,3,1.3,5,7,1,0,1.1,115,10,2.1,1.6,1,Redes sociales,7,6.6,10
28,Jeffrey Crawford,19,Varon,Shawburgh,8,4.9,9.3,50,4,0,7,4,1,0,0.3,117,5,3.5,4,0.9,Educación,3,7,10
29,Tammy Gallegos,17,Mujer,West Cynthia,10,6.6,8.1,77,7,1,6,1,3,1,1.5,147,14,2,1.7,1.6,Educación,8,9.2,10
30,Jared Bridges,19,Otro,Jessicaberg,11,8.6,5.2,63,0,1.1,6,4,8,0,1.3,72,15,0.2,1.8,0.7,busquedas,9,6.6,10
31,Bailey Flores,15,Otro,Lake Martha,12,4.1,4.5,59,8,0.8,10,1,8,0,0.6,32,10,2.2,1,0.5,Educación,9,9.3,7.7
32,Jennifer Hudson,19,Varon,Vickifurt,10,4.2,6.9,86,8,1.7,5,1,9,1,1,100,15,2.6,2.2,0.9,busquedas,4,6.9,10
33,Kathleen Friedman,19,Varon,Port Ryan,10,8,5.5,87,7,2.2,1,8,5,0,1,26,16,3.3,1.3,2.6,Juego,6,5.2,10
34,Cynthia Fisher,16,Varon,Lake Jamiebury,9,3.3,5.3,50,4,0,7,1,6,0,0.3,141,14,0.7,3.2,0,Juego,5,5.1,10
